MT_Central_Dogma,OXPHOS,Complex_I_V,Complex_I,Complex_II,Complex_III,Complex_IV,Complex_V,MT_Ribosome,MT_Biogenesis,MT_Protein_Import,MT_CoQ_Synthesis
-1.5,-1.6666666666666667,-1.5806724266666665,-1.1304465523333334,-0.5348201668333333,-0.561281648,-1.1417649995,-1.1269807985,-1.041015305,-0.471597448,-1.4680735671666667,-0.30997103783333335
0.125,-0.375,-0.630848297,-0.41051147725000003,0.201409063375,-0.41132371862499995,-0.492120445375,-0.4306940535,-0.4128932625,0.226052927375,-0.15688841225000003,0.025660635749999994
-0.6666666666666666,-0.3333333333333333,-0.3890448376,-0.23702023373333334,-0.22369321160000002,-0.1511549024,-0.2993040758666667,-0.23683107506666665,-0.4436955542,-0.10493560693333333,-0.328569666,0.11315001906666668
