dataset,comparison
OSD-576,.Space.Flight.v.Ground.Control.
OSD-100,.FLT.v.GC.
OSD-101,.FLT.v.GC.
OSD-102,.FLT.v.GC.
OSD-103,.FLT.v.GC.
OSD-104,.FLT.v.GC.
OSD-105,.FLT.v.GC.
OSD-111,.Space.Flight...Extensor.digitorum.longus.v.Ground.Control...Extensor.digitorum.longus.
OSD-111,.Space.Flight...Soleus.v.Ground.Control...Soleus.
OSD-135,.Space.Flight...longissimus.dorsi.muscle.v.Ground.Control...longissimus.dorsi.muscle.
OSD-135,.Space.Flight...tongue.muscle.v.Ground.Control...tongue.muscle.
OSD-137,.FLT.v.GC.
OSD-161,.FLT.v.GC.
OSD-162,.FLT.v.GC.
OSD-163,.FLT.v.GC.
OSD-164,.Space.Flight...Liver.v.Ground.Control...Liver.
OSD-164,.Space.Flight...Spleen.v.Ground.Control...Spleen.
OSD-173,.FLT.v.GC.
OSD-194,.Space.Flight.v.Ground.Control.
OSD-21,.Space.Flight.v.Ground.Control.
OSD-238,.Space.Flight...uG...JAXA.Chow..v.Ground.Control...1G...JAXA.Chow..
OSD-239,.Space.Flight...uG...JAXA.Chow..v.Ground.Control...1G...JAXA.Chow..
OSD-240,.Space.Flight.v.Ground.Control.
OSD-241,.Space.Flight.v.Ground.Control.
OSD-242,.FLT_C1.v.GC_C2.
OSD-243,.Space.Flight....30...On.Earth...Upon.euthanasia.v.Ground.Control....30...On.Earth...Upon.euthanasia.
OSD-243,.Space.Flight....60...On.ISS...Carcass.v.Ground.Control....60...On.Earth...Carcass.
OSD-244,.Space.Flight....30...On.Earth...Upon.euthanasia.v.Ground.Control....30...On.Earth...Upon.euthanasia.
OSD-244,.Space.Flight....60...On.ISS...Carcass.v.Ground.Control....60...On.Earth...Carcass.
OSD-245,.Space.Flight....30...On.Earth...Upon.euthanasia.v.Ground.Control....30...On.Earth...Upon.euthanasia.
OSD-245,.Space.Flight....60...On.ISS...Carcass.v.Ground.Control....60...On.Earth...Carcass.
OSD-246,.Space.Flight....30...On.Earth...Upon.euthanasia.v.Ground.Control....30...On.Earth...Upon.euthanasia.
OSD-246,.Space.Flight....60...On.ISS...Carcass.v.Ground.Control....60...On.Earth...Carcass.
OSD-248,.Space.Flight....30...On.Earth...Upon.euthanasia.v.Ground.Control....30...On.Earth...Upon.euthanasia.
OSD-248,.Space.Flight....60...On.ISS...Carcass.v.Ground.Control....60...On.Earth...Carcass.
OSD-25,.Space.Flight.v.Ground.Control.
OSD-253,.Space.Flight...C3H.HeJ....25.v.Ground.Control...C3H.HeJ....25.
OSD-253,.Space.Flight...C3H.HeJ....75.v.Ground.Control...C3H.HeJ....75.
OSD-253,.Space.Flight...C57BL.6J....25.v.Ground.Control...C57BL.6J....25.
OSD-253,.Space.Flight...C57BL.6J....75.v.Ground.Control...C57BL.6J....75.
OSD-254,.Space.Flight...C3H.HeJ....25.v.Ground.Control...C3H.HeJ....25.
OSD-254,.Space.Flight...C3H.HeJ....75.v.Ground.Control...C3H.HeJ....75.
OSD-254,.Space.Flight...C57BL.6J....25.v.Ground.Control...C57BL.6J....25.
OSD-254,.Space.Flight...C57BL.6J....75.v.Ground.Control...C57BL.6J....75.
OSD-288,.Space.Flight...uG.v.Ground.Control...1G.
OSD-289,.MHU.1...Space.Flight...uG.v.MHU.1...Ground.Control...1G.
OSD-289,.MHU.2...Space.Flight...uG.v.MHU.2...Ground.Control...1G.
OSD-4,.Space.Flight.v.Ground.Control.
OSD-47,.FLT.v.GC.
OSD-48,.FLT_C.v.GC_C.
OSD-87,.Space.Flight.v.Ground.Control.
OSD-98,.FLT.v.GC.
OSD-99,.FLT.v.GC.
OSD-255,.Space.Flight.v.Ground.Control.
OSD-270,.Space.Flight...space.radiation.v.Ground.Control...non.irradiated.
OSD-326,.Space.Flight.v.Ground.Control.
OSD-352,.Space.Flight.v.Ground.Control.
OSD-379,.Space.Flight....40...On.Earth...Upon.euthanasia.v.Ground.Control....40...On.Earth...Upon.euthanasia.
OSD-379,.Space.Flight...22.to.23...On.ISS...Carcass.v.Ground.Control...24...On.ISS...Carcass.
OSD-401,.Space.Flight...Gastrocnemius.v.Ground.Control...Gastrocnemius.
OSD-401,.Space.Flight...Quadriceps.femoris.v.Ground.Control...Quadriceps.femoris.
OSD-419,.Space.Flight.v.Ground.Control.
OSD-420,.Space.Flight.v.Ground.Control.
OSD-421,.Space.Flight.v.Ground.Control.
OSD-580,.Space.Flight...On.Earth...12.week.v.Ground.Control...On.Earth...12.week.
OSD-580,.Space.Flight...On.Earth...29.week.v.Ground.Control...On.Earth...29.week.
OSD-580,.Space.Flight...On.ISS...12.week.v.Ground.Control...On.ISS...12.week.
OSD-580,.Space.Flight...On.ISS...29.week.v.Ground.Control...On.ISS...29.week.
