MitoPathway,MitoPathway Hierarchy
Mitochondrial central dogma,Mitochondrial central dogma
mtDNA maintenance,Mitochondrial central dogma > mtDNA maintenance
mtDNA replication,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication
mtDNA nucleoid,Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid
mtDNA repair,Mitochondrial central dogma > mtDNA maintenance > mtDNA repair
mtDNA modifications,Mitochondrial central dogma > mtDNA maintenance > mtDNA modifications
mtDNA stability and decay,Mitochondrial central dogma > mtDNA maintenance > mtDNA stability and decay
mtRNA metabolism,Mitochondrial central dogma > mtRNA metabolism
Transcription,Mitochondrial central dogma > mtRNA metabolism > Transcription
mtRNA granules,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules
Polycistronic mtRNA processing,Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing
mt-tRNA modifications,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications
mt-rRNA modifications,Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications
mt-mRNA modifications,Mitochondrial central dogma > mtRNA metabolism > mt-mRNA modifications
mtRNA stability and decay,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay
Translation,Mitochondrial central dogma > Translation
Mitochondrial ribosome,Mitochondrial central dogma > Translation > Mitochondrial ribosome
Mitochondrial ribosome assembly,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
Translation factors,Mitochondrial central dogma > Translation > Translation factors
mt-tRNA synthetases,Mitochondrial central dogma > Translation > mt-tRNA synthetases
fMet processing,Mitochondrial central dogma > Translation > fMet processing
"Protein import, sorting and homeostasis","Protein import, sorting and homeostasis"
Protein import and sorting,"Protein import, sorting and homeostasis > Protein import and sorting"
TOM,"Protein import, sorting and homeostasis > Protein import and sorting > TOM"
SAM,"Protein import, sorting and homeostasis > Protein import and sorting > SAM"
MIA40,"Protein import, sorting and homeostasis > Protein import and sorting > MIA40"
TIM22 carrier pathway,"Protein import, sorting and homeostasis > Protein import and sorting > TIM22 carrier pathway"
TIM23 presequence pathway,"Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway"
Import motor,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor"
OXA,"Protein import, sorting and homeostasis > Protein import and sorting > OXA"
Preprotein cleavage,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage"
Protein homeostasis,"Protein import, sorting and homeostasis > Protein homeostasis"
Proteases,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
Chaperones,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones"
OXPHOS,OXPHOS
OXPHOS subunits,OXPHOS > OXPHOS subunits
OXPHOS assembly factors,OXPHOS > OXPHOS assembly factors
Complex I,OXPHOS > Complex I
CI subunits,OXPHOS > Complex I > CI subunits
CI assembly factors,OXPHOS > Complex I > CI assembly factors
Complex II,OXPHOS > Complex II
CII subunits,OXPHOS > Complex II > CII subunits
CII assembly factors,OXPHOS > Complex II > CII assembly factors
Complex III,OXPHOS > Complex III
CIII subunits,OXPHOS > Complex III > CIII subunits
